"نام کالا",نماد,تالار,"تولید کننده","نوع قرارداد","قیمت پایانی میانگین   موزون","ارزش معامله (هزارریال)","پایین ترین",بالاترین,"قیمت پایه عرضه","حجم عرضه",تقاضا,"حجم قرارداد",واحد,"تاریخ معامله","عرضه کننده",کارگزار,"نوع ارز"
"سیمان تیپ2",GSCC-CEMENT2B-00,"تالار سیمان","صنایع سیمان گیلان سبز","نقدی (مچینگ)","5,299","4,663,120","5,299","5,299","5,299",0,880,880,تن,1401/11/17,"صنایع سیمان گیلان سبز","بورس بهگزین",ریال
"سیمان تیپ2",GSCC-CEMENT2B-00,"تالار سیمان","صنایع سیمان گیلان سبز","نقدی (مچینگ)","5,299","5,034,050","5,299","5,299","5,299",0,950,950,تن,1401/11/18,"صنایع سیمان گیلان سبز","بورس بهگزین",ریال
"سیمان تیپ2",PGOC-CEMENT2B-00,"تالار سیمان","سیمان پیوند گلستان",نقدی,"5,308","37,154,620","5,307","5,309","5,307","7,000","8,140","7,000",تن,1401/11/16,"سیمان پیوند گلستان","بورس بهگزین",ریال
"سیمان تیپ 2/کیسه50",PGOC-CEMENT2-50L-00,"تالار سیمان","سیمان پیوند گلستان",نقدی,"6,633","66,326,320","6,540","6,719","6,462","10,000","11,280","10,000",تن,1401/11/16,"سیمان پیوند گلستان","بورس بهگزین",ریال
"سیمان تیپ 425-1",KHAC-CEMENT425B-00,"تالار سیمان","سیمان خمسه",نقدی,"6,159","1,539,750","6,159","6,159","5,458",250,560,250,تن,1401/11/16,"سیمان خمسه",فارابی,ریال
"سیمان تیپ 425-1/کیسه50",KHAC-CEMENT425-50L-00,"تالار سیمان","سیمان خمسه",نقدی,"6,303","1,575,750","6,259","6,359","6,124",250,300,250,تن,1401/11/16,"سیمان خمسه",فارابی,ریال
"سیمان تیپ 2/کیسه50",HCC-CEMENT2-50L-00,"تالار سیمان","سیمان هرمزگان",نقدی,"9,701","194,011,100","9,500","9,966","7,501","20,000","28,500","20,000",تن,1401/11/16,"سیمان هرمزگان","بانک سپه",ریال
"سیمان تیپ2",KHAC-CEMENT2B-00,"تالار سیمان","سیمان خمسه",نقدی,"6,677","16,693,600","6,501","6,750","6,456","2,500","3,200","2,500",تن,1401/11/16,"سیمان خمسه",فارابی,ریال
"سیمان تیپ2",HCC-CEMENT2B-00,"تالار سیمان","سیمان هرمزگان",نقدی,"9,145","155,460,170","8,890","9,459","6,752","17,000","20,830","17,000",تن,1401/11/16,"سیمان هرمزگان","بانک سپه",ریال
"سیمان تیپ 2/کیسه50",KHAC-CEMENT2-50L-00,"تالار سیمان","سیمان خمسه",نقدی,"6,692","16,729,460","6,599","7,609","6,408","2,500","3,170","2,500",تن,1401/11/16,"سیمان خمسه",فارابی,ریال
"سیمان تیپ 2/کیسه50",CICE-CEMENT2-50L-00,"تالار سیمان","سیمان کیاسر",نقدی,"6,162","9,242,780","6,138","6,289","6,057","1,500","1,780","1,500",تن,1401/11/16,"صنایع سیمان کیاسر","بانک سپه",ریال
"سیمان تیپ2",ZCCO-CEMENT2B-00,"تالار سیمان","سیمان زابل",نقدی,"6,461","25,844,150","6,430","6,655","5,973","4,000","7,080","4,000",تن,1401/11/16,"صنایع سیمان زابل",فارابی,ریال
"سیمان تیپ2",CICE-CEMENT2B-00,"تالار سیمان","سیمان کیاسر","نقدی (مچینگ)","5,866","1,173,200","5,866","5,866","5,866",0,200,200,تن,1401/11/17,"صنایع سیمان کیاسر","بانک سپه",ریال
"سیمان تیپ2",CICE-CEMENT2B-00,"تالار سیمان","سیمان کیاسر","نقدی (مچینگ)","5,866","16,424,800","5,866","5,866","5,866",0,"2,800","2,800",تن,1401/11/18,"صنایع سیمان کیاسر","بانک سپه",ریال
"سیمان تیپ 2/کیسه50",ZCCO-CEMENT2-50L-00,"تالار سیمان","سیمان زابل",نقدی,"6,978","48,847,940","6,930","7,059","6,643","7,000","14,610","7,000",تن,1401/11/16,"صنایع سیمان زابل",فارابی,ریال
"سیمان پوزولانی ویژه",KHAC-CEMENTSPB-00,"تالار سیمان","سیمان خمسه",نقدی,,0,,,"4,657","4,250",0,0,تن,1401/11/17,"سیمان خمسه",فارابی,ریال
"سیمان پوزولانی ویژه/کیسه50",KHAC-CEMENTSP-50L-00,"تالار سیمان","سیمان خمسه",نقدی,"6,057","787,410","6,057","6,057","6,057","5,750",130,130,تن,1401/11/17,"سیمان خمسه",فارابی,ریال
"سیمان پوزولانی ویژه",ZCCO-CEMENTSPB-00,"تالار سیمان","سیمان زابل",نقدی,"5,218","2,869,900","5,218","5,218","5,218","1,000",550,550,تن,1401/11/17,"صنایع سیمان زابل",فارابی,ریال
"سیمان پوزولانی ویژه/کیسه50",ZCCO-CEMENTSP-50L-00,"تالار سیمان","سیمان زابل",نقدی,"6,232","24,304,800","6,232","6,232","6,232","5,000","3,900","3,900",تن,1401/11/17,"صنایع سیمان زابل",فارابی,ریال
"سیمان پوزولانی ویژه/کیسه50",ZCCO-CEMENTSP-50L-00,"تالار سیمان","سیمان زابل","نقدی (مچینگ)","6,232","6,855,200","6,232","6,232","6,232",0,"1,100","1,100",تن,1401/11/17,"صنایع سیمان زابل",فارابی,ریال
"سیمان تیپ 5/کیسه50",ILCE-CEMENT5-50L-00,"تالار سیمان","سیمان ایلام","نقدی (مچینگ)","6,171","2,159,850","6,171","6,171","6,171",0,350,350,تن,1401/11/17,"سیمان ایلام","بورس بهگزین",ریال
"سیمان تیپ 5/کیسه50",ILCE-CEMENT5-50L-00,"تالار سیمان","سیمان ایلام",نقدی,"6,171","4,011,150","6,171","6,171","6,171","1,500",650,650,تن,1401/11/17,"سیمان ایلام","بورس بهگزین",ریال
"سیمان تیپ 325-1",SAES-CEMENT325B-00,"تالار سیمان","ساروج اصفهان",نقدی,"6,069","3,034,500","6,069","6,069","5,015",500,"1,250",500,تن,1401/11/16,"ساروج اصفهان","تامین سرمایه نوین",ریال
"سیمان تیپ 425-1",SAES-CEMENT425B-00,"تالار سیمان","ساروج اصفهان",نقدی,"6,610","39,657,500","6,439","6,669","5,458","6,000","10,900","6,000",تن,1401/11/16,"ساروج اصفهان","تامین سرمایه نوین",ریال
"سیمان تیپ 325-1/کیسه50",SAES-CEMENT325-50L-00,"تالار سیمان","ساروج اصفهان",نقدی,"6,427","3,213,375","6,409","6,444","6,014",500,"1,150",500,تن,1401/11/16,"ساروج اصفهان","تامین سرمایه نوین",ریال
"سیمان تیپ 425-1/کیسه50",SAES-CEMENT425-50L-00,"تالار سیمان","ساروج اصفهان",نقدی,"6,615","3,307,725","6,529","6,649","6,393",500,900,500,تن,1401/11/16,"ساروج اصفهان","تامین سرمایه نوین",ریال
"سیمان تیپ 2/کیسه50",OAC-CEMENT2-50L-00,"تالار سیمان","سیمان عمران انارک",نقدی,"7,419","3,709,400","7,409","7,438","7,029",500,900,500,تن,1401/11/16,"سیمان عمران انارک","بانک صادرات",ریال
"سیمان تیپ2",NACE-CEMENT2B-00,"تالار سیمان","سیمان نائین",نقدی,"5,194","15,581,250","5,148","5,230","5,143","3,000","3,150","3,000",تن,1401/11/16,"سیمان نائین",حافظ,ریال
"سیمان تیپ 2/کیسه50",NACE-CEMENT2-50L-00,"تالار سیمان","سیمان نائین",نقدی,"6,117","12,233,450","6,110","6,129","6,106","2,000","2,275","2,000",تن,1401/11/16,"سیمان نائین",حافظ,ریال
"سیمان تیپ 325-1/کیسه50",OAC-CEMENT325-50L-00,"تالار سیمان","سیمان عمران انارک",نقدی,"6,503","9,754,620","6,250","6,609","6,082","1,500","2,680","1,500",تن,1401/11/16,"سیمان عمران انارک","بانک صادرات",ریال
"سیمان تیپ2",GCC-CEMENT2B-00,"تالار سیمان","سیمان قشم",نقدی,"7,440","17,112,800","7,300","7,559","6,735","2,300","2,600","2,300",تن,1401/11/16,"سیمان قشم",حافظ,ریال
"سیمان تیپ 2/کیسه50",GCC-CEMENT2-50L-00,"تالار سیمان","سیمان قشم",نقدی,"10,034","17,057,875","9,922","10,059","7,501","1,700","2,250","1,700",تن,1401/11/16,"سیمان قشم",حافظ,ریال
"سیمان تیپ 325-1",GAC-CEMENT325B-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","4,537","10,888,800","4,537","4,537","4,537",0,"2,400","2,400",تن,1401/11/17,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ 325-1",GAC-CEMENT325B-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","4,537","9,074,000","4,537","4,537","4,537",0,"2,000","2,000",تن,1401/11/18,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ 325-1",GAC-CEMENT325B-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","4,537","16,106,350","4,537","4,537","4,537",0,"3,550","3,550",تن,1401/11/19,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ 2/کیسه50",GAC-CEMENT2-50L-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","6,057","605,700","6,057","6,057","6,057",0,100,100,تن,1401/11/19,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ2",GAC-CEMENT2B-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","4,657","465,700","4,657","4,657","4,657",0,100,100,تن,1401/11/19,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ2",GAC-CEMENT2B-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","4,657","4,657,000","4,657","4,657","4,657",0,"1,000","1,000",تن,1401/11/17,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ 2/کیسه25",GAC-CEMENT2-25L-00,"تالار سیمان","مجتمع سیمان غرب آسیا",نقدی,,0,,,"7,396",100,0,0,تن,1401/11/16,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ 325-1/کیسه50",GAC-CEMENT325-50L-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","5,937","2,374,800","5,937","5,937","5,937",0,400,400,تن,1401/11/19,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ 2/کیسه50",DACO-CEMENT2-50L-00,"تالار سیمان","سیمان دشتستان",نقدی,"9,778","58,669,600","9,699","9,869","7,259","6,000","10,000","6,000",تن,1401/11/16,"صنایع سیمان دشتستان","آرمون بورس",ریال
"سیمان تیپ2",DACO-CEMENT2B-00,"تالار سیمان","سیمان دشتستان",نقدی,"8,143","44,786,850","8,059","8,766","5,826","5,500","8,900","5,500",تن,1401/11/16,"صنایع سیمان دشتستان","آرمون بورس",ریال
"سیمان تیپ2",CMN-CEMENT2B-00,"تالار سیمان","سیمان منددشتی",نقدی,"7,744","69,695,000","7,679","7,899","5,863","9,000","13,800","9,000",تن,1401/11/16,"سیمان مند دشتی","آرمون بورس",ریال
"سولفات سدیم",MAI-SOSULJ-00,"تالار پتروشیمی","معدنی املاح ایران","سلف (مچینگ)","38,841","1,942,050","38,841","38,841","38,841",0,50,50,تن,1401/11/17,"معدنی املاح ایران","صبا تأمین",ریال
"سیمان تیپ 2/کیسه50",CMN-CEMENT2-50L-00,"تالار سیمان","سیمان منددشتی",نقدی,"9,134","45,669,400","8,969","9,209","7,260","5,000","6,600","5,000",تن,1401/11/16,"سیمان مند دشتی","آرمون بورس",ریال
"اوره پریل",KHP-UREAPL-00,"تالار پتروشیمی","پتروشیمی خراسان","نقدی (مچینگ)","103,587","10,358,700","103,587","103,587","103,587",0,100,100,تن,1401/11/16,"پتروشیمی خراسان","صبا تأمین",ریال
"اوره پریل",KHP-UREAPL-00,"تالار پتروشیمی","پتروشیمی خراسان",نقدی,"103,587","9,322,830","103,587","103,587","103,587",400,90,90,تن,1401/11/16,"پتروشیمی خراسان","صبا تأمین",ریال
"سیمان تیپ 425-1",SECO-CEMENT425B-00,"تالار سیمان","سیمان سپاهان",نقدی,"6,554","6,554,000","6,554","6,554","5,458","1,000","3,300","1,000",تن,1401/11/16,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 2/کیسه50",SECO-CEMENT2-50L-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","7,029","1,405,800","7,029","7,029","7,029",0,200,200,تن,1401/11/17,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 2/کیسه50",SECO-CEMENT2-50L-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","7,029","702,900","7,029","7,029","7,029",0,100,100,تن,1401/11/18,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 2/کیسه50",SECO-CEMENT2-50L-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","7,029","2,811,600","7,029","7,029","7,029",0,400,400,تن,1401/11/19,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 325-1/کیسه50",SECO-CEMENT325-50L-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","5,937","1,187,400","5,937","5,937","5,937",0,200,200,تن,1401/11/19,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 325-1/کیسه50",SECO-CEMENT325-50L-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","5,937","2,374,800","5,937","5,937","5,937",0,400,400,تن,1401/11/18,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 325-1/کیسه50",SECO-CEMENT325-50L-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","5,937","9,944,475","5,937","5,937","5,937",0,"1,675","1,675",تن,1401/11/17,"سیمان سپاهان","آرمون بورس",ریال
آرگون,SIS-ARGAB-00,"تالار پتروشیمی","فولاد سیرجان ایرانیان",نقدی,"295,778","11,831,120","294,294","298,001","197,019",40,90,40,تن,1401/11/16,"فولاد سیرجان ایرانیان","آفتاب درخشان خاورمیانه",ریال
"سیمان تیپ2",ECC-CEMENT2B-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","4,657","1,629,950","4,657","4,657","4,657",0,350,350,تن,1401/11/16,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ2",ECC-CEMENT2B-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","4,657","2,328,500","4,657","4,657","4,657",0,500,500,تن,1401/11/17,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ2",ECC-CEMENT2B-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","4,657","5,122,700","4,657","4,657","4,657",0,"1,100","1,100",تن,1401/11/18,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ2",ECC-CEMENT2B-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","4,657","2,095,650","4,657","4,657","4,657",0,450,450,تن,1401/11/19,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 2/کیسه50",SKC-CEMENT2-50L-00,"تالار سیمان","صنایع سیمان شهرکرد",نقدی,"6,662","6,661,825","6,629","6,719","6,613","1,000","1,800","1,000",تن,1401/11/16,"صنایع سیمان شهرکرد",حافظ,ریال
"سیمان تیپ 425-1/کیسه50",SKC-CEMENT425-50L-00,"تالار سیمان","صنایع سیمان شهرکرد",نقدی,"6,468","25,872,250","6,459","6,539","6,425","4,000","5,350","4,000",تن,1401/11/16,"صنایع سیمان شهرکرد",حافظ,ریال
"سیمان تیپ 2/کیسه50",ECC-CEMENT2-50L-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","6,057","605,700","6,057","6,057","6,057",0,100,100,تن,1401/11/19,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 325-1/کیسه50",ECC-CEMENT325-50L-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","5,937","3,740,310","5,937","5,937","5,937",0,630,630,تن,1401/11/19,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 325-1/کیسه50",ECC-CEMENT325-50L-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","5,937","593,700","5,937","5,937","5,937",0,100,100,تن,1401/11/16,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 325-1/کیسه50",ECC-CEMENT325-50L-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","5,937","2,374,800","5,937","5,937","5,937",0,400,400,تن,1401/11/17,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 325-1/کیسه50",ECC-CEMENT325-50L-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","5,937","3,740,310","5,937","5,937","5,937",0,630,630,تن,1401/11/18,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 325-1",ECC-CEMENT325B-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","4,581","458,100","4,581","4,581","4,581",0,100,100,تن,1401/11/19,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 425-1",ECC-CEMENT425B-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","4,724","1,417,200","4,724","4,724","4,724",0,300,300,تن,1401/11/19,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ2",KCC-CEMENT2B-00,"تالار سیمان","سیمان کردستان","نقدی (مچینگ)","5,211","521,100","5,211","5,211","5,211",0,100,100,تن,1401/11/16,"سیمان کردستان","آرمون بورس",ریال
"سیمان تیپ 425-1",KCC-CEMENT425B-00,"تالار سیمان","سیمان کردستان",نقدی,"5,599","2,239,400","5,589","5,608","5,181",400,550,400,تن,1401/11/16,"سیمان کردستان","آرمون بورس",ریال
"سیمان تیپ 425-1/کیسه50",KCC-CEMENT425-50L-00,"تالار سیمان","سیمان کردستان",نقدی,"6,124","612,400","6,124","6,124","6,124",100,130,100,تن,1401/11/16,"سیمان کردستان","آرمون بورس",ریال
"سیمان تیپ 2/کیسه50",CMK-CEMENT2-50L-00,"تالار سیمان","سیمان توسعه ماهان کرمان","نقدی (مچینگ)","7,246","2,173,800","7,246","7,246","7,246",0,300,300,تن,1401/11/17,"سیمان توسعه ماهان کرمان","خبرگان سهام",ریال
"سیمان تیپ 2/کیسه50",KCC-CEMENT2-50L-00,"تالار سیمان","سیمان کردستان",نقدی,"6,322","13,909,200","6,299","6,359","6,199","2,200","2,550","2,200",تن,1401/11/16,"سیمان کردستان","آرمون بورس",ریال
"سیمان تیپ2",CMK-CEMENT2B-00,"تالار سیمان","سیمان توسعه ماهان کرمان","نقدی (مچینگ)","6,001","1,800,300","6,001","6,001","6,001",0,300,300,تن,1401/11/18,"سیمان توسعه ماهان کرمان","خبرگان سهام",ریال
"سیمان پوزولانی/کیسه50",CMK-CEMENTP-50L-00,"تالار سیمان","سیمان توسعه ماهان کرمان",نقدی,"6,057","9,085,500","6,057","6,057","6,057","1,500","1,500","1,500",تن,1401/11/17,"سیمان توسعه ماهان کرمان","خبرگان سهام",ریال
"پلی استایرن انبساطی نسوز F300",ENPC-PSSEF300J-089,"تالار پتروشیمی","توسعه صنایع پتروشیمی پلی استایرن انتخاب","نقدی (مچینگ)","388,301","79,601,705","388,301","388,301","388,301",0,205,205,تن,1401/11/16,"توسعه صنایع پتروشیمی پلی استایرن انتخاب","بانک تجارت",ریال
"پلی استایرن انبساطی نسوز F300",ENPC-PSSEF300J-089,"تالار پتروشیمی","توسعه صنایع پتروشیمی پلی استایرن انتخاب",نقدی,"388,301","36,888,595","388,301","388,301","388,301",300,195,95,تن,1401/11/16,"توسعه صنایع پتروشیمی پلی استایرن انتخاب","بانک تجارت",ریال
"سیمان تیپ2",DCC-CEMENT2B-00,"تالار سیمان","سیمان داراب","نقدی (مچینگ)","6,492","3,570,600","6,492","6,492","6,492",0,550,550,تن,1401/11/17,"سیمان داراب","بورس بیمه ایران",ریال
"سیمان تیپ2",DCC-CEMENT2B-00,"تالار سیمان","سیمان داراب","نقدی (مچینگ)","6,492","324,600","6,492","6,492","6,492",0,50,50,تن,1401/11/19,"سیمان داراب","بورس بیمه ایران",ریال
"سیمان تیپ 2/کیسه50",DCC-CEMENT2-50L-00,"تالار سیمان","سیمان داراب",نقدی,"7,755","65,921,020","7,699","7,822","7,459","8,500","9,740","8,500",تن,1401/11/16,"سیمان داراب","بورس بیمه ایران",ریال
"سیمان تیپ 425-1/کیسه50",AAK-CEMENT425-50L-00,"تالار سیمان","سیمان آذر آبادگان خوی","نقدی (مچینگ)","6,124","612,400","6,124","6,124","6,124",0,100,100,تن,1401/11/17,"کارخانه سیمان آذر آبادگان خوی",آگاه,ریال
"سیمان تیپ 425-1/کیسه50",AAK-CEMENT425-50L-00,"تالار سیمان","سیمان آذر آبادگان خوی","نقدی (مچینگ)","6,124","183,720","6,124","6,124","6,124",0,30,30,تن,1401/11/18,"کارخانه سیمان آذر آبادگان خوی",آگاه,ریال
"سیمان تیپ 325-1/کیسه50",CTM-CEMENT325-50L-00,"تالار سیمان","گروه صنعتی معدنی سیمان تجارت مهریز","نقدی (مچینگ)","5,937","4,749,600","5,937","5,937","5,937",0,800,800,تن,1401/11/17,"گروه صنعتی ومعدنی سیمان تجارت مهریز","بانک تجارت",ریال
"سیمان تیپ2",AAK-CEMENT2B-00,"تالار سیمان","سیمان آذر آبادگان خوی","نقدی (مچینگ)","5,501","1,100,200","5,501","5,501","5,501",0,200,200,تن,1401/11/16,"کارخانه سیمان آذر آبادگان خوی",آگاه,ریال
"سیمان تیپ 2/کیسه50",AAK-CEMENT2-50L-00,"تالار سیمان","سیمان آذر آبادگان خوی",نقدی,"6,190","15,474,790","6,159","6,229","6,108","2,500","4,670","2,500",تن,1401/11/16,"کارخانه سیمان آذر آبادگان خوی",آگاه,ریال
"سیمان تیپ 425-1",AAK-CEMENT425B-00,"تالار سیمان","سیمان آذر آبادگان خوی",نقدی,"4,994","9,988,620","4,919","5,059","4,852","2,000","5,240","2,000",تن,1401/11/16,"کارخانه سیمان آذر آبادگان خوی",آگاه,ریال
"سیمان تیپ 325-1",CASC-CEMENT325B-00,"تالار سیمان","سیمان کویر کاشان",نقدی,"5,417","5,416,500","5,309","5,509","4,912","1,000","1,250","1,000",تن,1401/11/16,"سیمان کویر کاشان",آگاه,ریال
"سیمان تیپ 325-1/کیسه50",CASC-CEMENT325-50L-00,"تالار سیمان","سیمان کویر کاشان",نقدی,"6,532","16,329,680","6,489","6,589","6,088","2,500","3,510","2,500",تن,1401/11/16,"سیمان کویر کاشان",آگاه,ریال
"سیمان تیپ 2/کیسه50",CASC-CEMENT2-50L-00,"تالار سیمان","سیمان کویر کاشان","نقدی (مچینگ)","6,690","2,007,000","6,690","6,690","6,690",0,300,300,تن,1401/11/17,"سیمان کویر کاشان",آگاه,ریال
"سیمان تیپ2",CASC-CEMENT2B-00,"تالار سیمان","سیمان کویر کاشان","نقدی (مچینگ)","6,599","989,850","6,599","6,599","6,599",0,150,150,تن,1401/11/17,"سیمان کویر کاشان",آگاه,ریال
"سیمان تیپ2",CASC-CEMENT2B-00,"تالار سیمان","سیمان کویر کاشان","نقدی (مچینگ)","6,599","4,289,350","6,599","6,599","6,599",0,650,650,تن,1401/11/16,"سیمان کویر کاشان",آگاه,ریال
"سیمان تیپ 425-1/کیسه50",NEYC-CEMENT425-50L-00,"تالار سیمان","سیمان نیزار قم",نقدی,"6,125","12,249,420","6,124","6,126","6,124","2,000","3,210","2,000",تن,1401/11/16,"سیمان نیزار قم",آگاه,ریال
"سیمان تیپ2",NEYC-CEMENT2B-00,"تالار سیمان","سیمان نیزار قم",نقدی,"7,206","28,822,800","7,159","7,309","6,735","4,000","6,120","4,000",تن,1401/11/16,"سیمان نیزار قم",آگاه,ریال
"سیمان تیپ2",ESTC-CEMENT2B-00,"تالار سیمان","سیمان استهبان","نقدی (مچینگ)","5,985","311,220","5,985","5,985","5,985",0,52,52,تن,1401/11/17,"سیمان استهبان",آگاه,ریال
"سیمان تیپ2",ESTC-CEMENT2B-00,"تالار سیمان","سیمان استهبان","نقدی (مچینگ)","5,985","1,400,490","5,985","5,985","5,985",0,234,234,تن,1401/11/18,"سیمان استهبان",آگاه,ریال
"سیمان تیپ2",ESTC-CEMENT2B-00,"تالار سیمان","سیمان استهبان","نقدی (مچینگ)","5,985","155,610","5,985","5,985","5,985",0,26,26,تن,1401/11/19,"سیمان استهبان",آگاه,ریال
"سیمان تیپ 2/کیسه50",ESTC-CEMENT2-50L-00,"تالار سیمان","سیمان استهبان","نقدی (مچینگ)","6,900","358,800","6,900","6,900","6,900",0,52,52,تن,1401/11/19,"سیمان استهبان",آگاه,ریال
"سیمان تیپ 2/کیسه50",ESTC-CEMENT2-50L-00,"تالار سیمان","سیمان استهبان","نقدی (مچینگ)","6,900","3,229,200","6,900","6,900","6,900",0,468,468,تن,1401/11/18,"سیمان استهبان",آگاه,ریال
"سیمان تیپ 2/کیسه50",ESTC-CEMENT2-50L-00,"تالار سیمان","سیمان استهبان","نقدی (مچینگ)","6,900","179,400","6,900","6,900","6,900",0,26,26,تن,1401/11/17,"سیمان استهبان",آگاه,ریال
"سیمان تیپ 2/کیسه50",NEYC-CEMENT2-50L-00,"تالار سیمان","سیمان نیزار قم",نقدی,"6,201","12,402,510","6,201","6,202","6,201","2,000","2,870","2,000",تن,1401/11/16,"سیمان نیزار قم",آگاه,ریال
"سیمان تیپ2",SABC-CEMENT2B-00,"تالار سیمان","بین‌المللی ساروج بوشهر",نقدی,"8,511","22,980,750","8,430","8,719","6,735","2,700","4,300","2,700",تن,1401/11/16,"بین المللی ساروج بوشهر","بانک ملی",ریال
"سیمان تیپ 2/کیسه50",SABC-CEMENT2-50L-00,"تالار سیمان","بین‌المللی ساروج بوشهر",نقدی,"9,391","27,234,700","9,289","9,469","7,501","2,900","4,700","2,900",تن,1401/11/16,"بین المللی ساروج بوشهر","بانک ملی",ریال
"سیمان تیپ2",FICO-CEMENT2B-00,"تالار سیمان","سیمان فیروزکوه","نقدی (مچینگ)","6,209","32,907,700","6,209","6,209","6,209",0,"5,300","5,300",تن,1401/11/16,"تولیدی سیمان فیروزکوه","بانک ملی",ریال
"سیمان تیپ 2/کیسه50",FICO-CEMENT2-50L-00,"تالار سیمان","سیمان فیروزکوه",نقدی,"6,851","20,552,900","6,700","7,002","6,380","3,000","3,600","3,000",تن,1401/11/16,"تولیدی سیمان فیروزکوه","بانک ملی",ریال
"آمونیاک (گاز)",SPC-AMMONIAV-00,"تالار پتروشیمی","پتروشیمی شیراز",نقدی,"182,567","985,861.8","182,567","182,567","182,567",54,5.4,5.4,تن,1401/11/16,"پتروشیمی شیراز","بانک تجارت",ریال
"سیمان تیپ 2/کیسه50",BACC-CEMENT2-50L-00,"تالار سیمان","سیمان باقران",نقدی,"6,057","9,085,500","6,057","6,057","6,057","3,000","1,500","1,500",تن,1401/11/16,"سیمان باقران","بانک ملی",ریال
"سیمان تیپ 2/کیسه50",BACC-CEMENT2-50L-00,"تالار سیمان","سیمان باقران","نقدی (مچینگ)","6,057","605,700","6,057","6,057","6,057",0,100,100,تن,1401/11/17,"سیمان باقران","بانک ملی",ریال
"سیمان تیپ2",BACC-CEMENT2B-00,"تالار سیمان","سیمان باقران","نقدی (مچینگ)","4,657","1,862,800","4,657","4,657","4,657",0,400,400,تن,1401/11/18,"سیمان باقران","بانک ملی",ریال
"سیمان تیپ2",SSH-CEMENT2B-00,"تالار سیمان","سیمان شمال",نقدی,"7,855","62,839,250","7,209","8,119","6,721","8,000","15,750","8,000",تن,1401/11/16,"سیمان شمال","بانک ملی",ریال
"سیمان تیپ2",MAS-CEMENT2B-00,"تالار سیمان","سیمان مازندران",نقدی,"6,761","135,213,300","6,724","6,839","6,374","20,000","23,100","20,000",تن,1401/11/16,"سیمان مازندران","بانک ملی",ریال
"سیمان تیپ2",CJOV-CEMENT2B-00,"تالار سیمان","سیمان جوین","نسیه (مچینگ)","4,657","465,700","4,657","4,657","4,657",0,100,100,تن,1401/11/19,"سیمان جوین",ساوآفرین,ریال
