"نام کالا",نماد,تالار,"تولید کننده","نوع قرارداد","قیمت پایانی میانگین   موزون","ارزش معامله (هزارریال)","پایین ترین",بالاترین,"قیمت پایه عرضه","حجم عرضه",تقاضا,"حجم قرارداد",واحد,"تاریخ معامله","عرضه کننده",کارگزار,"نوع ارز"
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,824,000","78,240,000","7,824,000","7,824,000","7,824,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,965,000","79,650,000","7,965,000","7,965,000","7,965,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,215,000","82,150,000","8,215,000","8,215,000","8,215,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,198,000","81,980,000","8,198,000","8,198,000","8,198,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"بنزن (COAL BASE)",ESC-BENZENECBB-00,"تالار پتروشیمی","ذوب آهن اصفهان",سلف,"152,250","45,675,000","152,250","152,250","152,250",300,300,300,تن,1401/12/07,"ذوب آهن اصفهان","صبا تأمین",ریال
"سولفور مولیبدن",NCI-OANMMSF-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,076,000","80,760,000","8,076,000","8,076,000","8,076,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,091,000","80,910,000","8,091,000","8,091,000","8,091,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سیمان تیپ 425-1",GAC-CEMENT425B-00,"تالار سیمان","مجتمع سیمان غرب آسیا",نقدی,,0,,,"4,724",100,0,0,تن,1401/12/07,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,329,000","83,290,000","8,329,000","8,329,000","8,329,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,394,000","83,940,000","8,394,000","8,394,000","8,394,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,091,000","80,910,000","8,091,000","8,091,000","8,091,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سیمان تیپ 2/جامبوبگ",GSCC-CEMENT2J-00,"تالار سیمان","صنایع سیمان گیلان سبز",نقدی,,0,,,"6,057","2,000",0,0,تن,1401/12/07,"صنایع سیمان گیلان سبز","بورس بهگزین",ریال
